epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,72.7386,1.75713,2.98919,2.19222,0.20306,0.26691,0.13941,0.04334,2.2279,11.2023,3.05035,0.000554389,0.000554389,0.000554389
2,137.072,1.80908,2.3949,2.19252,0.7694,0.30721,0.40792,0.1898,1.80844,1.42302,2.7206,0.00110994,0.00110994,0.00110994
3,201.848,1.79619,2.32888,2.13697,0.68866,0.40746,0.44941,0.20988,1.74585,1.44941,2.47599,0.001665,0.001665,0.001665
4,266.737,1.73226,2.21992,2.0948,0.67198,0.40423,0.45183,0.16946,2.15143,1.49892,3.06894,0.00166537,0.00166537,0.00166537
5,331.584,1.68072,2.09133,2.0433,0.76657,0.41371,0.48978,0.20874,1.82539,1.12991,2.49791,0.00166411,0.00166411,0.00166411
6,396.627,1.65574,1.95046,2.00697,0.77093,0.47605,0.57738,0.26885,1.75588,1.1034,2.45576,0.00166248,0.00166248,0.00166248
7,462.683,1.65747,1.86065,2.01638,0.7803,0.46038,0.57523,0.2285,2.01716,1.13032,2.81575,0.00166049,0.00166049,0.00166049
8,528.506,1.61357,1.82352,1.9844,0.71878,0.50446,0.58549,0.27145,1.73403,0.95977,2.37308,0.00165815,0.00165815,0.00165815
9,594.174,1.60712,1.80731,1.93096,0.77578,0.48482,0.5685,0.21359,2.10608,1.10546,2.91905,0.00165544,0.00165544,0.00165544
10,661.043,1.59763,1.77561,1.9243,0.78495,0.48134,0.60226,0.31327,1.51091,0.86972,2.15536,0.00165238,0.00165238,0.00165238
11,727.559,1.60178,1.70564,1.94641,0.75945,0.49325,0.59006,0.23443,1.99958,0.99329,2.71904,0.00164897,0.00164897,0.00164897
12,794.24,1.59082,1.67791,1.93879,0.8324,0.47845,0.61352,0.29354,1.64847,0.89667,2.24294,0.0016452,0.0016452,0.0016452
13,860.733,1.59255,1.73055,1.90295,0.82064,0.51073,0.63595,0.30887,1.60821,0.84413,2.1824,0.00164108,0.00164108,0.00164108
14,927.565,1.55491,1.58559,1.88858,0.8407,0.48393,0.62026,0.3354,1.41894,0.8615,2.02653,0.0016366,0.0016366,0.0016366
15,993.826,1.56014,1.57811,1.91248,0.80658,0.5189,0.63965,0.30095,1.74754,0.87908,2.36301,0.00163178,0.00163178,0.00163178
16,1060.36,1.54863,1.54019,1.90454,0.81983,0.51634,0.6258,0.2882,1.77945,0.8994,2.47628,0.00162661,0.00162661,0.00162661
17,1127.41,1.52548,1.55865,1.86058,0.78317,0.54348,0.64943,0.3195,1.56774,0.84433,2.16982,0.0016211,0.0016211,0.0016211
18,1196.11,1.5253,1.51446,1.87312,0.84087,0.50061,0.64427,0.33199,1.49925,0.79977,2.09296,0.00161525,0.00161525,0.00161525
