epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,40.9841,1.68373,1.88944,2.06766,0.35394,0.28118,0.22779,0.06752,2.26194,2.87076,3.59575,0.000552011,0.000552011,0.000552011
2,82.7214,1.76729,1.76217,2.15183,0.50303,0.401,0.40321,0.12391,2.35999,2.62858,3.56247,0.00109201,0.00109201,0.00109201
3,125.489,1.72352,1.67162,2.08077,0.23569,0.30497,0.15071,0.08341,1.70917,11.7103,2.36643,0.0016163,0.0016163,0.0016163
4,166.39,1.71275,1.60594,2.04744,0.75151,0.53304,0.57058,0.21836,1.85209,2.04545,2.56189,0.00159627,0.00159627,0.00159627
5,207.281,1.64742,1.50243,2.00067,0.91379,0.58655,0.6757,0.29759,1.84079,1.15115,2.55155,0.0015727,0.0015727,0.0015727
6,247.751,1.62006,1.4446,1.97855,0.86973,0.60555,0.68627,0.30469,1.79412,1.02506,2.40793,0.00154912,0.00154912,0.00154912
7,288.01,1.5802,1.3433,1.9413,0.96122,0.53676,0.71157,0.35103,1.66625,0.96115,2.24423,0.00152554,0.00152554,0.00152554
8,326.978,1.56272,1.31215,1.93079,0.84355,0.59028,0.65999,0.25756,2.07696,1.06781,2.75326,0.00150197,0.00150197,0.00150197
9,365.823,1.54987,1.28361,1.91658,0.92166,0.59605,0.70576,0.29693,1.92616,0.98844,2.5423,0.00147839,0.00147839,0.00147839
10,404.506,1.52185,1.25545,1.88219,0.89085,0.65052,0.7497,0.32233,1.81731,1.12192,2.40662,0.00145481,0.00145481,0.00145481
11,443.166,1.50782,1.27868,1.86727,0.9333,0.62888,0.71919,0.34187,1.66758,0.93167,2.27844,0.00143124,0.00143124,0.00143124
12,482.07,1.52966,1.25528,1.88776,0.93716,0.61336,0.73007,0.39361,1.48132,0.92844,2.06373,0.00140766,0.00140766,0.00140766
13,522.085,1.45146,1.17074,1.84014,0.93674,0.62246,0.74055,0.36759,1.61559,0.81601,2.24594,0.00138409,0.00138409,0.00138409
14,564.968,1.4757,1.2189,1.83266,0.85417,0.65986,0.75277,0.33102,1.85058,0.8967,2.45595,0.00136051,0.00136051,0.00136051
15,607.32,1.46515,1.13769,1.80869,0.89691,0.67698,0.76795,0.37485,1.56223,0.82941,2.15435,0.00133693,0.00133693,0.00133693
16,649.164,1.43219,1.08535,1.81599,0.93269,0.65879,0.77899,0.36769,1.69263,0.81448,2.31777,0.00131336,0.00131336,0.00131336
17,691.467,1.42136,1.09573,1.80618,0.94959,0.63882,0.78621,0.38365,1.60181,0.76577,2.19431,0.00128978,0.00128978,0.00128978
18,733.939,1.45027,1.10108,1.80402,0.90389,0.6977,0.80082,0.39687,1.5655,0.77107,2.12786,0.00126621,0.00126621,0.00126621
19,776.865,1.40254,1.06486,1.78691,0.89853,0.68087,0.79296,0.40784,1.55019,0.78507,2.12391,0.00124263,0.00124263,0.00124263
20,819.239,1.41865,1.06812,1.78742,0.91905,0.68122,0.78266,0.38838,1.61551,0.83275,2.20509,0.00121905,0.00121905,0.00121905
21,861.341,1.38841,1.02364,1.7768,0.88585,0.68338,0.78946,0.3899,1.54664,0.78612,2.12687,0.00119548,0.00119548,0.00119548
22,904.241,1.42603,1.08396,1.78628,0.93456,0.67059,0.79312,0.41697,1.45805,0.73815,2.02229,0.0011719,0.0011719,0.0011719
23,948.015,1.42115,1.08038,1.77428,0.94786,0.63383,0.76331,0.41175,1.42575,0.76866,1.99775,0.00114832,0.00114832,0.00114832
24,990.279,1.39974,1.01136,1.7428,0.89028,0.70812,0.79121,0.44384,1.3868,0.74524,1.95553,0.00112475,0.00112475,0.00112475
25,1034.24,1.36591,0.96715,1.74245,0.89069,0.7336,0.8239,0.43012,1.45473,0.70363,2.05379,0.00110117,0.00110117,0.00110117
26,1077.07,1.38298,1.00582,1.74415,0.94311,0.68542,0.81799,0.40492,1.60364,0.72327,2.20701,0.0010776,0.0010776,0.0010776
27,1120.22,1.33513,0.93175,1.7168,0.89216,0.68021,0.77694,0.43867,1.41837,0.7805,1.9669,0.00105402,0.00105402,0.00105402
28,1162.91,1.3907,0.98727,1.75129,0.93186,0.71485,0.82659,0.43097,1.49465,0.74399,2.08353,0.00103044,0.00103044,0.00103044
29,1206.18,1.35434,0.94838,1.73303,0.91054,0.74262,0.83121,0.45805,1.40061,0.67829,1.96991,0.00100687,0.00100687,0.00100687
30,1248.44,1.34293,0.96746,1.7519,0.88141,0.73373,0.82944,0.41625,1.60673,0.73944,2.18703,0.000983292,0.000983292,0.000983292
31,1289.4,1.37052,0.98666,1.75023,0.91757,0.68374,0.81934,0.45601,1.36055,0.68882,1.93915,0.000959716,0.000959716,0.000959716
32,1331.44,1.36763,0.94795,1.74137,0.91116,0.74766,0.84665,0.45458,1.40054,0.65513,1.94767,0.00093614,0.00093614,0.00093614
33,1373.3,1.3384,0.97649,1.73249,0.8993,0.7124,0.81844,0.44463,1.44458,0.67963,2.01147,0.000912563,0.000912563,0.000912563
34,1414.43,1.31785,0.90783,1.69564,0.91276,0.7391,0.84282,0.42188,1.49665,0.66427,2.05848,0.000888987,0.000888987,0.000888987
35,1455.03,1.32861,0.89286,1.7012,0.8999,0.75703,0.84989,0.45032,1.44274,0.65314,2.0104,0.000865411,0.000865411,0.000865411
36,1495.7,1.32603,0.90375,1.69456,0.92569,0.73343,0.84735,0.47481,1.33988,0.66297,1.89069,0.000841835,0.000841835,0.000841835
37,1535.87,1.32236,0.91621,1.71441,0.9151,0.73624,0.84608,0.47787,1.36861,0.63994,1.92497,0.000818259,0.000818259,0.000818259
38,1576.39,1.29879,0.87171,1.68689,0.90548,0.72621,0.84298,0.46212,1.39314,0.63222,1.94644,0.000794683,0.000794683,0.000794683
